price_per_month,county,space_type,months_since_listed,min_size_sqft,years_since_built
5536.320000000001,Utah County,Industrial,8,3504,0.0
5536.320000000001,Utah County,Industrial,8,3504,0.0
5515.780000000001,Utah County,Industrial,8,3491,0.0
4529.860000000001,Utah County,Industrial,8,2867,0.0
4534.6,Utah County,Industrial,8,2870,0.0
4514.06,Utah County,Industrial,8,2857,0.0
4563.04,Utah County,Industrial,8,2888,0.0
4570.9400000000005,Utah County,Industrial,8,2893,0.0
4572.52,Utah County,Industrial,8,2894,0.0
4872.72,Utah County,Industrial,8,3084,0.0
5536.320000000001,Utah County,Industrial,8,3504,0.0
5515.780000000001,Utah County,Industrial,8,3491,0.0
5536.320000000001,Utah County,Industrial,8,3504,0.0
5536.320000000001,Utah County,Industrial,8,3504,0.0
5068.64,Utah County,Industrial,8,3208,0.0
7956.88,Utah County,Flex,8,5036,0.0
11391.800000000001,Utah County,Flex,8,7210,0.0
3192.0,Utah County,Flex,10,2128,0.0
3150.0,Utah County,Flex,10,2100,0.0
3150.0,Utah County,Flex,10,2100,0.0
3150.0,Utah County,Flex,10,2100,0.0
3150.0,Utah County,Flex,10,2100,0.0
3536.0,Weber County,Office/Retail,1,1700,10.0
1442.48,Weber County,Office,5,988,9.0
3059.0,Carbon County,Retail,2,2300,44.0
1101.0,Cache County,Office/Retail,2,734,66.0
1652.5,Cache County,Office,6,1322,22.0
9004.5,Cache County,Office,6,6003,22.0
6163.5,Cache County,Office,6,4109,22.0
4743.0,Cache County,Office,6,3162,22.0
7578.0,Utah County,Office,0,3789,136.0
3240.0,Utah County,Office,0,1620,136.0
2898.0,Utah County,Office,0,1449,136.0
5589.12,Utah County,Office,0,2911,136.0
5696.639999999999,Utah County,Office,0,2967,136.0
4502.0,Utah County,Office,0,2251,136.0
111.72,Utah County,Office,0,57,136.0
111.72,Utah County,Office,0,57,136.0
111.72,Utah County,Office,0,57,136.0
111.72,Utah County,Office,0,57,136.0
268.52,Utah County,Office,0,137,136.0
209.72,Utah County,Office,0,107,136.0
274.4,Utah County,Office,0,140,136.0
5150.52,Utah County,Office,0,4769,41.0
2900.0,Utah County,Industrial,0,2000,53.0
2900.0,Utah County,Industrial,0,2000,53.0
2900.0,Utah County,Industrial,0,2000,53.0
2900.0,Utah County,Industrial,0,2000,53.0
2900.0,Utah County,Industrial,0,2000,53.0
2900.0,Utah County,Industrial,0,2000,53.0
2900.0,Utah County,Industrial,0,2000,53.0
2900.0,Utah County,Industrial,0,2000,53.0
2500.0,Utah County,Industrial,0,2000,51.0
42000.0,Utah County,Retail,6,42000,37.0
2433.4,Utah County,Office,1,2645,27.0
1939.3600000000001,Utah County,Office,1,2108,27.0
23930.640000000003,Utah County,Office,1,14772,38.0
3642.08,Utah County,Retail,1,1751,6.0
2359.56,Utah County,Office,1,2226,24.0
2124.2400000000002,Utah County,Office,1,2004,24.0
13770.0,Utah County,Office,18,9180,32.0
8750.0,Utah County,Office,18,5000,32.0
67504.5,Utah County,Office,18,38574,32.0
53992.0,Utah County,Office,18,26996,32.0
9258.0,Utah County,Flex,2,6172,92.0
31020.000000000004,Utah County,Industrial,2,28200,29.0
2064.0,Utah County,Office,3,1600,49.0
5077.799999999999,Utah County,Office,3,4340,124.0
2859.5,Utah County,Office,6,1634,67.0
9021.25,Utah County,Office,6,5155,67.0
6244.0,Utah County,Office,3,3568,4.0
6244.0,Utah County,Office,3,3568,4.0
4098.5,Utah County,Retail,4,1171,46.0
9954.4,Utah County,Flex,5,10820,7.0
11613.72,Utah County,Office,5,5693,19.0
18455.88,Utah County,Office,5,9047,19.0
196.0,Utah County,Office,5,100,19.0
6520.92,Utah County,Office,5,3327,19.0
2977.6499999999996,Sevier County,Office/Retail,7,2545,9.0
6452.0,Weber County,Office,3,3226,29.0
2030.0,Weber County,Office,3,1015,29.0
2026.0,Weber County,Office,3,1013,29.0
2020.0,Weber County,Office,3,1010,29.0
1800.0,Weber County,Retail,9,1200,32.0
3764.0,Salt Lake County,Retail,2,1882,17.0
8775.0,Salt Lake County,Industrial,9,7020,0.0
8775.0,Salt Lake County,Industrial,9,7020,0.0
8775.0,Salt Lake County,Industrial,9,7020,0.0
30876.25,Salt Lake County,Industrial,9,24701,0.0
7100.0,Weber County,Flex,4,7100,0.0
1800.0,Washington County,Office,0,1200,28.0
2389.7999999999997,Washington County,Office,0,1707,17.0
976.0,Washington County,Office,0,800,28.0
500.0,Washington County,Office,0,200,27.0
2095.5,Washington County,Retail,0,1270,17.0
4489.599999999999,Washington County,Retail,1,1952,19.0
6044.4,Washington County,Retail,1,2628,19.0
2139.0,Washington County,Retail,1,930,19.0
3893.0,Washington County,Retail,1,2290,16.0
16000.0,Washington County,Retail,0,8000,64.0
